,gene,members,origin,r_scores,snps
2975,group4433,198,['Rh03'],0.217580630257,34
2976,group4434,198,['Rh03'],0.1560571268,56
2977,group4435,198,['Rh03'],0.195667369787,114
2978,group4436,198,['Rh03'],0.0532421214864,60
2979,group4437,198,['Rh03'],0.244765044012,103
2980,group4438,197,0,0.141586722704,100
2981,group4439,198,['Rh03'],0.196813656072,65
2982,group4440,197,0,0.139974590727,17
2983,group4441,197,0,0.196742638427,50
2984,group4442,194,0,0.178237275707,25
2985,group4443,198,['Rh03'],0.181441610156,65
2986,group4444,198,['Rh03'],0.18709915887,32
2987,group4445,198,['Rh03'],0.197905078135,33
2988,group4446,198,['chrm'],0.19024564319,46
2989,group4447,198,['chrm'],0.159522282755,40
2990,group4448,198,['chrm'],0.174736355158,34
2991,group4449,197,0,0.192908677478,61
2992,group4450,198,['chrm'],0.178413923475,29
2993,group4451,197,0,0.177943084229,52
2994,group4452,187,0,0.21116501208,160
2995,group4453,187,0,0.169671625066,63
2996,group4454,187,0,0.158860865744,76
2997,group4455,187,0,0.194734943917,68
2998,group4456,187,0,0.168165266161,69
2999,group4457,187,0,0.151755055476,43
3000,group4458,187,0,0.161177367255,109
3001,group4459,187,0,0.174762555699,100
3002,group4460,187,0,0.132977037949,155
3003,group4461,198,['chrm'],0.184307605484,64
3004,group4462,198,['chrm'],0.160454621979,53
3005,group4463,198,['chrm'],0.165106525829,34
3006,group4464,198,['chrm'],0.168583421405,105
3007,group4465,198,['chrm'],0.112276127587,55
3008,group4466,198,['chrm'],0.121235865816,189
3009,group4467,197,0,0.126790142395,48
3010,group4468,198,"['Rh01', 'Rh04']",0.145537333014,67
3011,group4469,198,"['Rh01', 'Rh04']",0.165826334863,58
3012,group4470,198,"['Rh01', 'Rh04']",0.172671541909,63
3013,group4471,198,"['Rh01', 'Rh04']",0.18716189081,119
3014,group4472,198,"['Rh01', 'Rh04']",0.208120616941,56
3015,group4473,198,"['Rh01', 'Rh04']",0.167048452014,53
3016,group4474,198,"['Rh01', 'Rh04']",0.185657437872,58
3017,group4475,198,"['Rh01', 'Rh04']",0.169070154967,35
3018,group4476,198,"['Rh01', 'Rh04']",0.167922639006,52
3019,group4477,198,"['Rh01', 'Rh04']",0.177980140557,134
3020,group4478,198,"['Rh01', 'Rh04']",0.197868412428,55
3021,group4479,198,"['Rh01', 'Rh04']",0.147638933262,114
3022,group4480,198,"['Rh01', 'Rh04']",0.168473284003,105
3023,group4481,139,0,0.143477632585,43
3024,group4482,198,"['Rh01', 'Rh04']",0.151213914467,210
3025,group4483,198,"['Rh01', 'Rh04']",0.121005092786,103
3026,group4484,198,"['Rh01', 'Rh04']",0.148898624313,109
3027,group4485,198,"['Rh01', 'Rh04']",0.179860881167,41
3028,group4486,198,"['Rh01', 'Rh04']",0.195208513244,54
3029,group4487,198,"['Rh01', 'Rh04']",0.174923257508,58
3030,group4488,198,"['Rh01', 'Rh04']",0.147908009848,53
3031,group4489,198,['chrm'],0.146543917693,23
3032,group4490,198,['chrm'],0.0862994020953,50
3033,group4491,198,['chrm'],0.078038929362,44
3034,group4492,198,['chrm'],0.0929913465213,65
3035,group4493,198,['chrm'],0.138233226139,28
3036,group4494,196,0,0.14133099918,30
3037,group4495,198,['chrm'],0.230996692589,80
3038,group4496,198,['chrm'],0.160962876848,11
3039,group4497,198,['chrm'],0.143908458181,16
3040,group4498,198,['chrm'],0.203481241367,41
3041,group4499,187,0,0.20038966556,74
3042,group4500,187,0,0.161321872052,21
3043,group4501,198,['chrm'],0.195898445788,26
3044,group4502,198,['chrm'],0.175658144344,44
3045,group4503,198,['chrm'],0.182239498089,82
3046,group4504,198,['chrm'],0.185466722683,76
3047,group4505,198,['chrm'],0.173713487551,82
3048,group4506,198,['chrm'],0.219490387074,82
3049,group4509,186,0,0.161191716133,43
3050,group4510,186,0,0.147819791478,13
3051,group4511,186,0,0.18661801731,27
3052,group4512,186,0,0.164389263196,87
3053,group4513,186,0,0.108883733681,14
3054,group4514,183,0,0.0946307056955,62
3055,group4515,176,0,0.110439141344,12
3056,group4516,186,0,0.14682119533,49
3057,group4517,186,0,0.183800323543,38
3058,group4518,198,['chrm'],0.137873255169,45
3059,group4519,198,['chrm'],0.183708300764,94
3060,group4520,198,['chrm'],0.196461341119,278
3061,group4521,198,['chrm'],0.166276289411,33
3062,group4522,198,['chrm'],0.156236759439,90
3063,group4523,198,['chrm'],0.179950732268,63
3064,group4524,198,['chrm'],0.188668271008,46
3065,group4525,198,['chrm'],0.189329344319,52
3066,group4526,198,['chrm'],0.179766903096,97
3067,group4527,198,['chrm'],0.203960388865,70
3068,group4528,198,['chrm'],0.157451734247,20
3069,group4529,198,['chrm'],0.102293505019,83
3070,group4530,198,['chrm'],0.163686347759,64
3071,group4531,198,['chrm'],0.167746589208,81
3072,group4532,198,['chrm'],0.186825877291,91
3073,group4533,198,['chrm'],0.162387956195,66
3074,group4534,198,['chrm'],0.112559983619,53
3075,group4535,198,['chrm'],0.180096841711,167
3076,group4536,198,['chrm'],0.198151485159,85
3077,group4537,198,['chrm'],0.219277846947,92
3078,group4538,197,0,0.0614965993987,72
3079,group4539,198,['Rh03'],0.14990409337,23
3080,group4540,198,['Rh03'],0.197235524843,95
3081,group4541,197,0,0.239032665987,167
3082,group4542,197,0,0.251655464655,132
3083,group4543,198,['Rh03'],0.172318843027,49
3084,group4544,198,['Rh03'],0.219625891164,98
3085,group4545,198,['Rh03'],0.23209509863,119
3086,group4546,198,['Rh03'],0.192822740942,47
3087,group4547,198,['Rh03'],0.260642760586,131
3088,group4548,198,['Rh03'],0.235851289324,71
3089,group4549,198,['Rh03'],0.251757887107,105
3090,group4550,198,['Rh03'],0.163074008842,64
3091,group4551,198,['Rh03'],0.226080386002,116
3092,group4552,198,['Rh03'],0.19322585908,78
3093,group4553,198,['Rh03'],0.187660607772,84
3094,group4554,198,['Rh03'],0.199337281778,74
3095,group4555,198,0,0.210451348384,73
3096,group4556,198,['Rh03'],0.22323597618,150
